inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
dupilumab,DUPIXENT,DUPIXENT,sanofi-aventis U.S. LLC,FDA,SC,prefilled_syringe,originator,300 mg/2 mL (150 mg/mL),300.0,2.0,150.0,liquid,0,NCT06693531,Approved
durvalumab,IMFINZI,IMFINZI,AstraZeneca Pharmaceuticals LP,FDA,IV,solution,originator,120 mg/2.4 mL (50 mg/mL) and 500 mg/10 mL (50 mg/mL),120.0,2.4,50.0,liquid,0,NCT03606967,Phase 2
durvalumab,IMFINZI,IMFINZI,AstraZeneca Pharmaceuticals LP,FDA,IV,solution,originator,120 mg/2.4 mL (50 mg/mL) and 500 mg/10 mL (50 mg/mL),500.0,10.0,50.0,liquid,1,NCT03606967,Phase 2
eculizumab,BKEMV,BKEMV,Amgen Inc,FDA,IV,solution,biosimilar,300 mg/30 mL (10 mg/mL),300.0,30.0,10.0,liquid,0,UNKNOWN,Approved
eculizumab,EPYSQLI,EPYSQLI,"Teva Pharmaceuticals USA, Inc.",FDA,IV,solution,biosimilar,300 mg/30 mL (10 mg/mL),300.0,30.0,10.0,liquid,0,UNKNOWN,Approved
eculizumab,SOLIRIS,SOLIRIS,Alexion Pharmaceuticals Inc.,FDA,IV,solution,originator,300 mg/30 mL (10 mg/mL),300.0,30.0,10.0,liquid,0,NCT05133531,Phase 3
elotuzumab,EMPLICITI,EMPLICITI,"E.R. Squibb & Sons, L.L.C.",FDA,IV,lyophilized_powder,originator,300 mg or 400 mg,300.0,,,other,0,NCT02420860,Phase 2
elotuzumab,EMPLICITI,EMPLICITI,"E.R. Squibb & Sons, L.L.C.",FDA,IV,lyophilized_powder,originator,300 mg or 400 mg,400.0,,,other,1,NCT02420860,Phase 2
emapalumab,GAMIFANT,GAMIFANT,Swedish Orphan Biovitrum AB (publ),FDA,IV,solution,originator,10 mg/2 mL (5 mg/mL),10.0,2.0,5.0,liquid,0,NCT05744063,Phase 4
eptinezumab,VYEPTI,VYEPTI,Lundbeck Pharmaceuticals LLC,FDA,IV,solution,originator,100 mg/mL,,,100.0,liquid,0,NCT05164172,Phase 3
erenumab,AIMOVIG,AIMOVIG,Amgen Inc,FDA,SC,prefilled_syringe,originator,"70 mg/mL, 140 mg/mL",,,70.0,liquid,0,NCT03832998,Phase 3
erenumab,AIMOVIG,AIMOVIG,Amgen Inc,FDA,SC,prefilled_syringe,originator,"70 mg/mL, 140 mg/mL",,,140.0,liquid,1,NCT03832998,Phase 3
evinacumab,EVKEEZA,EVKEEZA,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,150 mg/mL,,,150.0,liquid,0,NCT07271186,Phase 2
evolocumab,REPATHA,REPATHA,Amgen USA Inc.,FDA,SC,autoinjector,originator,140 mg/mL,,,140.0,liquid,0,NCT04608474,Phase 4
fremanezumab,AJOVY,AJOVY,"Teva Pharmaceuticals USA, Inc.",FDA,SC,prefilled_syringe,originator,225 mg/1.5 mL,225.0,1.5,150.0,liquid,0,NCT06173661,Phase 4
galcanezumab,EMGALITY,EMGALITY,Eli Lilly and Company,FDA,SC,prefilled_syringe,originator,120 mg/mL,,,120.0,liquid,0,NCT07323927,EARLY_Phase 1
garadacimab,ANDEMBRY,ANDEMBRY,CSL,FDA,SC,autoinjector,originator,200 mg/1.2 mL,200.0,1.2,166.66666666666666,liquid,0,UNKNOWN,Approved
golimumab,SIMPONI ARIA,SIMPONI ARIA,"Janssen Biotech, Inc.",FDA,IV,solution,biosimilar,50 mg/4 mL (12.5 mg/mL),50.0,4.0,12.5,liquid,0,NCT02277444,Phase 3
golimumab,SIMPONI,SIMPONI,"Janssen Biotech, Inc.",FDA,SC,prefilled_syringe,originator,50 mg/0.5 mL and 100 mg/mL,50.0,0.5,100.0,liquid,0,NCT05071664,Phase 2
golimumab,SIMPONI,SIMPONI,"Janssen Biotech, Inc.",FDA,SC,prefilled_syringe,originator,50 mg/0.5 mL and 100 mg/mL,,,100.0,liquid,1,NCT05071664,Phase 2
ibalizumab,TROGARZO,TROGARZO,Theratechnologies Inc.,FDA,IV,solution,originator,200 mg/1.33 mL (150 mg/mL),200.0,1.33,150.37593984962405,liquid,0,NCT03913195,Phase 3
inebilizumab,UPLIZNA,UPLIZNA,"Horizon Therapeutics USA, Inc.",FDA,IV,solution,originator,100 mg/10 mL (10 mg/mL),100.0,10.0,10.0,liquid,0,NCT06570798,Phase 2
infliximab,INFLECTRA,INFLECTRA,Pfizer Laboratories Div Pfizer Inc,FDA,IV,lyophilized_powder,biosimilar,100 mg,100.0,,,other,0,NCT02517684,Phase 4
infliximab,ZYMFENTRA,ZYMFENTRA,CELLTRION USA Inc.,FDA,SC,prefilled_syringe,biosimilar,120 mg/mL,,,120.0,liquid,0,UNKNOWN,Approved
infliximab,REMICADE,REMICADE,"Janssen Biotech, Inc.",FDA,IV,lyophilized_powder,originator,100 mg,100.0,,,other,0,NCT04438382,Phase 2
infliximab,INFLIXIMAB,INFLIXIMAB,"Janssen Biotech, Inc.",FDA,IV,lyophilized_powder,biosimilar,100 mg,100.0,,,other,0,UNKNOWN,Approved
infliximab,RENFLEXIS,RENFLEXIS,Organon LLC,FDA,IV,lyophilized_powder,biosimilar,100 mg,100.0,,,other,0,UNKNOWN,Approved
infliximab,AVSOLA,AVSOLA,"Amgen, Inc",FDA,IV,lyophilized_powder,biosimilar,100 mg,100.0,,,other,0,NCT04305145,Phase 2
